country,isoA2,landmark1,landmark2,landmark3,landmark4,landmark5,landmark6
Taiwan,TW,Taipei 101,Taroko National Park,Sun Moon Lake,Kenting National Park,Jiufen Old Street,National Palace Museum
Kosovo,XK,Pristina,Prizren,Peja Patriarchate,Gračanica Monastery,Rugova Canyon,Bear Sanctuary Prishtina
Greenland,GL,Ilulissat Icefjord,Nuuk,Narsarsuaq,Kangerlussuaq,Disko Bay,Uunartoq Hot Springs
Puerto Rico,PR,Old San Juan,El Yunque National Forest,Bioluminescent Bay,Culebra Island,Arecibo Observatory,Ponce Historic Zone
New Caledonia,NC,Lifou,Loyalty Islands,Amedee Lighthouse,Blue River Provincial Park,Noumea,Tjibaou Cultural Centre
Falkland Islands,FK,Stanley,Volunteer Point,Cape Pembroke Lighthouse,Gypsy Cove,Bertha's Beach,Sea Lion Island
Western Sahara,EH,Laayoune,Dakhla,Smara,El Aaiún waterfront,White Dune,Atlantic coast
French Southern and Antarctic Lands,TF,Port-aux-Français,Crozet Islands,Kerguelen research sites,Amsterdam Island,Îles Eparses,Subantarctic wildlife
Northern Cyprus,JY,Kyrenia Harbour,Bellapais Abbey,Salamis ruins,Nicosia buffer zone,Karpaz Peninsula,Kantara Castle
Somaliland,JZ,Hargeisa,Laas Geel,Las Anod,Berbera port,Daallo Forest,Sheikh Mountains
